,,,,,,
CROSSTABS,,,,,,
CROSSTABS /TABLES=age BY running /FORMAT=AVALUE TABLES PIVOT /STATISTICS=CHISQ /CELLS=TOTAL. ,,,,,,
Summary.,,,,,,
,Cases,,,,,
,Valid,Missing,Total,,,
,N,Percent,N,Percent,N,Percent
age * running,39,100.00%,0,0.00%,39,100.00%
age * running [total %].,,,,,,
,running,,,,,
age * running,d1,,d2,d3,Total,
Age_1,15.38%,,15.38%,23.08%,53.85%,
Age_2,15.38%,,7.69%,23.08%,46.15%,
Total,30.77%,,23.08%,46.15%,100.00%,
Chi-square tests.,,,,,,
Statistic,Value,df,Asymp. Sig. (2-tailed),,,
Pearson Chi-Square,0.77,2,0.679,,,
Likelihood Ratio,0.79,2,0.674,,,
Linear-by-Linear Association,0.01,1,0.932,,,
N of Valid Cases,39,,,,,
CROSSTABS,,,,,,
CROSSTABS /TABLES=education BY Δ_running /FORMAT=AVALUE TABLES PIVOT /STATISTICS=CHISQ /CELLS=TOTAL. ,,,,,,
Summary.,,,,,,
,Cases,,,,,
,Valid,Missing,Total,,,
,N,Percent,N,Percent,N,Percent
education * running,39,100.00%,0,0.00%,39,100.00%
education * running [total %].,,,,,,
,running,,,,,
education * running,d2,,d1,d3,Total,
Level_1,0.00%,,7.69%,30.77%,38.46%,
Level_2,30.77%,,15.38%,15.38%,61.54%,
Total,30.77%,,23.08%,46.15%,100.00%,
Chi-square tests.,,,,,,
Statistic,Value,df,Asymp. Sig. (2-tailed),,,
Pearson Chi-Square,13.65,2,0.001,,,
Likelihood Ratio,17.6,2,0,,,
Linear-by-Linear Association,13.3,1,0,,,
N of Valid Cases,39,,,,,
