Table: Summary,,,,,,
,Cases,,,,,
,Valid,,Missing,,Total,
,N,Percent,N,Percent,N,Percent
gender × sexuality,250,100.0%,0,.0%,250,100.0%
age × sexuality,250,100.0%,0,.0%,250,100.0%
times × sexuality,250,100.0%,0,.0%,250,100.0%
type × sexuality,250,100.0%,0,.0%,250,100.0%
smoking × sexuality,250,100.0%,0,.0%,250,100.0%
diet_vegan × sexuality,250,100.0%,0,.0%,250,100.0%
erotism × sexuality,250,100.0%,0,.0%,250,100.0%
romantism × sexuality,250,100.0%,0,.0%,250,100.0%
reading × sexuality,250,100.0%,0,.0%,250,100.0%
gaming × sexuality,250,100.0%,0,.0%,250,100.0%
gym × sexuality,250,100.0%,0,.0%,250,100.0%
,,,,,,
Table: gender × sexuality,,,,,,
,,,sexuality,,,Total
,,,normal,more,even more,
gender,male,Count,1,13,14,28
,,Row %,3.6%,46.4%,50.0%,100.0%
,,Total %,.4%,5.2%,5.6%,11.2%
,female,Count,45,79,98,222
,,Row %,20.3%,35.6%,44.1%,100.0%
,,Total %,18.0%,31.6%,39.2%,88.8%
Total,,Count,46,92,112,250
,,Row %,18.4%,36.8%,44.8%,100.0%
,,Total %,18.4%,36.8%,44.8%,100.0%
,,,,,,
Table: Chi-Square Tests,,,,,,
,Value,df,Asymptotic Sig. (2-tailed),,,
Pearson Chi-Square,4.75,2,.093,,,
Likelihood Ratio,6.36,2,.042,,,
Linear-by-Linear Association,2.24,1,.134,,,
N of Valid Cases,250,,,,,
,,,,,,
Table: Symmetric Measures,,,,,,
,,Value,Asymp. Std. Error,Approx. T,,
Nominal by Nominal,Phi,.14,,,,
,Cramer's V,.14,,,,
,Contingency Coefficient,.14,,,,
Ordinal by Ordinal,Kendall's tau-b,-.08,.05,-1.50,,
,Kendall's tau-c,-.06,.04,-1.50,,
,Gamma,-.23,.15,-1.50,,
,Spearman Correlation,-.08,.05,-1.31,,
Interval by Interval,Pearson's R,-.09,.05,-1.50,,
N of Valid Cases,,250,,,,
,,,,,,
Table: age × sexuality,,,,,,
,,,sexuality,,,Total
,,,normal,more,even more,
age,41-50,Count,9,0,8,17
,,Row %,52.9%,.0%,47.1%,100.0%
,,Total %,3.6%,.0%,3.2%,6.8%
,51-60,Count,28,11,15,54
